transaction_id|transaction_date|transaction_time|transaction_qty|store_id|store_location|product_id|unit_price|product_category|product_type|product_detail
33|2023-01-01|08:54:33|2|5|Lower Manhattan|27|3.5|Coffee|Organic brewed coffee|Brazilian Lg
34|2023-01-01|08:56:27|2|5|Lower Manhattan|29|2.5|Coffee|Gourmet brewed coffee|Columbian Medium Roast Rg
35|2023-01-01|08:57:46|1|8|Hell's Kitchen|54|2.5|Tea|Brewed Chai tea|Morning Sunrise Chai Rg
36|2023-01-01|08:58:55|1|5|Lower Manhattan|26|3.0|Coffee|Organic brewed coffee|Brazilian Rg
37|2023-01-01|09:00:12|1|5|Lower Manhattan|55|4.0|Tea|Brewed Chai tea|Morning Sunrise Chai Lg
38|2023-01-01|09:00:24|2|8|Hell's Kitchen|40|3.75|Coffee|Barista Espresso|Cappuccino
39|2023-01-01|09:07:13|1|8|Hell's Kitchen|45|3.0|Tea|Brewed herbal tea|Peppermint Lg
40|2023-01-01|09:08:09|2|8|Hell's Kitchen|45|3.0|Tea|Brewed herbal tea|Peppermint Lg
41|2023-01-01|09:08:13|1|8|Hell's Kitchen|24|3.0|Coffee|Drip coffee|Our Old Time Diner Blend Lg
42|2023-01-01|09:10:30|2|5|Lower Manhattan|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
43|2023-01-01|09:10:30|1|5|Lower Manhattan|78|4.5|Bakery|Scone|Scottish Cream Scone 
44|2023-01-01|09:11:06|1|5|Lower Manhattan|56|2.55|Tea|Brewed Chai tea|Spicy Eye Opener Chai Rg
45|2023-01-01|09:11:06|1|5|Lower Manhattan|77|3.0|Bakery|Scone|Oatmeal Scone
46|2023-01-01|09:13:01|1|5|Lower Manhattan|44|2.5|Tea|Brewed herbal tea|Peppermint Rg
47|2023-01-01|09:13:15|2|5|Lower Manhattan|56|2.55|Tea|Brewed Chai tea|Spicy Eye Opener Chai Rg
48|2023-01-01|09:14:16|1|5|Lower Manhattan|48|2.5|Tea|Brewed Black tea|English Breakfast Rg
49|2023-01-01|09:14:17|1|8|Hell's Kitchen|23|2.5|Coffee|Drip coffee|Our Old Time Diner Blend Rg
50|2023-01-01|09:14:25|1|8|Hell's Kitchen|46|2.5|Tea|Brewed Green tea|Serenity Green Tea Rg
51|2023-01-01|09:14:41|1|8|Hell's Kitchen|32|3.0|Coffee|Gourmet brewed coffee|Ethiopia Rg
52|2023-01-01|09:15:09|2|5|Lower Manhattan|47|3.0|Tea|Brewed Green tea|Serenity Green Tea Lg
53|2023-01-01|09:15:13|2|5|Lower Manhattan|43|3.0|Tea|Brewed herbal tea|Lemon Grass Lg
54|2023-01-01|09:19:21|2|5|Lower Manhattan|25|2.2|Coffee|Organic brewed coffee|Brazilian Sm
55|2023-01-01|09:19:26|1|8|Hell's Kitchen|59|4.5|Drinking Chocolate|Hot chocolate|Dark chocolate Lg
56|2023-01-01|09:21:08|1|5|Lower Manhattan|38|3.75|Coffee|Barista Espresso|Latte
57|2023-01-01|09:22:17|1|8|Hell's Kitchen|45|3.0|Tea|Brewed herbal tea|Peppermint Lg
58|2023-01-01|09:22:46|1|5|Lower Manhattan|34|2.45|Coffee|Premium brewed coffee|Jamaican Coffee River Sm
59|2023-01-01|09:29:56|2|8|Hell's Kitchen|36|3.75|Coffee|Premium brewed coffee|Jamaican Coffee River Lg
60|2023-01-01|09:29:56|1|8|Hell's Kitchen|74|3.5|Bakery|Biscotti|Ginger Biscotti
61|2023-01-01|09:29:57|1|8|Hell's Kitchen|53|3.0|Tea|Brewed Chai tea|Traditional Blend Chai Lg
62|2023-01-01|09:34:17|2|8|Hell's Kitchen|41|4.25|Coffee|Barista Espresso|Cappuccino Lg
63|2023-01-01|09:40:13|1|5|Lower Manhattan|41|4.25|Coffee|Barista Espresso|Cappuccino Lg
64|2023-01-01|09:41:22|2|5|Lower Manhattan|45|3.0|Tea|Brewed herbal tea|Peppermint Lg
65|2023-01-01|09:41:22|1|5|Lower Manhattan|79|3.75|Bakery|Scone|Jumbo Savory Scone
66|2023-01-01|09:44:20|2|5|Lower Manhattan|54|2.5|Tea|Brewed Chai tea|Morning Sunrise Chai Rg
67|2023-01-01|09:44:46|1|5|Lower Manhattan|24|3.0|Coffee|Drip coffee|Our Old Time Diner Blend Lg
68|2023-01-01|09:46:46|2|5|Lower Manhattan|37|3.0|Coffee|Barista Espresso|Espresso shot
69|2023-01-01|09:47:40|2|8|Hell's Kitchen|40|3.75|Coffee|Barista Espresso|Cappuccino
70|2023-01-01|09:50:44|2|5|Lower Manhattan|37|3.0|Coffee|Barista Espresso|Espresso shot
71|2023-01-01|09:50:44|1|5|Lower Manhattan|69|3.25|Bakery|Biscotti|Hazelnut Biscotti
72|2023-01-01|09:52:58|1|5|Lower Manhattan|50|2.5|Tea|Brewed Black tea|Earl Grey Rg
73|2023-01-01|09:53:28|1|8|Hell's Kitchen|47|3.0|Tea|Brewed Green tea|Serenity Green Tea Lg
74|2023-01-01|09:53:44|2|8|Hell's Kitchen|40|3.75|Coffee|Barista Espresso|Cappuccino
75|2023-01-01|09:53:44|1|8|Hell's Kitchen|72|3.25|Bakery|Scone|Ginger Scone
76|2023-01-01|09:53:49|1|8|Hell's Kitchen|35|3.1|Coffee|Premium brewed coffee|Jamaican Coffee River Rg
77|2023-01-01|09:54:46|1|5|Lower Manhattan|23|2.5|Coffee|Drip coffee|Our Old Time Diner Blend Rg
78|2023-01-01|09:55:16|2|5|Lower Manhattan|43|3.0|Tea|Brewed herbal tea|Lemon Grass Lg
79|2023-01-01|09:56:30|1|8|Hell's Kitchen|22|2.0|Coffee|Drip coffee|Our Old Time Diner Blend Sm
80|2023-01-01|10:00:39|2|8|Hell's Kitchen|32|3.0|Coffee|Gourmet brewed coffee|Ethiopia Rg
81|2023-01-01|10:03:55|2|8|Hell's Kitchen|36|3.75|Coffee|Premium brewed coffee|Jamaican Coffee River Lg
82|2023-01-01|10:14:49|1|5|Lower Manhattan|26|3.0|Coffee|Organic brewed coffee|Brazilian Rg
83|2023-01-01|10:14:49|1|5|Lower Manhattan|71|3.75|Bakery|Pastry|Chocolate Croissant
84|2023-01-01|10:16:30|2|5|Lower Manhattan|32|3.0|Coffee|Gourmet brewed coffee|Ethiopia Rg
85|2023-01-01|10:16:33|1|8|Hell's Kitchen|54|2.5|Tea|Brewed Chai tea|Morning Sunrise Chai Rg
86|2023-01-01|10:18:14|2|8|Hell's Kitchen|41|4.25|Coffee|Barista Espresso|Cappuccino Lg
87|2023-01-01|10:18:52|2|5|Lower Manhattan|25|2.2|Coffee|Organic brewed coffee|Brazilian Sm
88|2023-01-01|10:19:42|2|5|Lower Manhattan|23|2.5|Coffee|Drip coffee|Our Old Time Diner Blend Rg
89|2023-01-01|10:24:19|1|8|Hell's Kitchen|54|2.5|Tea|Brewed Chai tea|Morning Sunrise Chai Rg
90|2023-01-01|10:25:22|2|8|Hell's Kitchen|56|2.55|Tea|Brewed Chai tea|Spicy Eye Opener Chai Rg
91|2023-01-01|10:25:45|2|5|Lower Manhattan|58|3.5|Drinking Chocolate|Hot chocolate|Dark chocolate Rg
92|2023-01-01|10:25:45|1|5|Lower Manhattan|74|3.5|Bakery|Biscotti|Ginger Biscotti
93|2023-01-01|10:27:48|2|8|Hell's Kitchen|47|3.0|Tea|Brewed Green tea|Serenity Green Tea Lg
94|2023-01-01|10:30:07|1|5|Lower Manhattan|35|3.1|Coffee|Premium brewed coffee|Jamaican Coffee River Rg
95|2023-01-01|10:30:07|1|5|Lower Manhattan|70|3.25|Bakery|Scone|Cranberry Scone
96|2023-01-01|10:35:47|1|8|Hell's Kitchen|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
97|2023-01-01|10:41:53|1|5|Lower Manhattan|59|4.5|Drinking Chocolate|Hot chocolate|Dark chocolate Lg
98|2023-01-01|10:47:53|2|5|Lower Manhattan|36|3.75|Coffee|Premium brewed coffee|Jamaican Coffee River Lg
99|2023-01-01|10:49:13|2|8|Hell's Kitchen|51|3.0|Tea|Brewed Black tea|Earl Grey Lg
100|2023-01-01|10:49:51|2|5|Lower Manhattan|61|4.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Lg
101|2023-01-01|10:51:17|1|5|Lower Manhattan|47|3.0|Tea|Brewed Green tea|Serenity Green Tea Lg
102|2023-01-01|10:52:44|2|8|Hell's Kitchen|23|2.5|Coffee|Drip coffee|Our Old Time Diner Blend Rg
103|2023-01-01|10:52:44|1|8|Hell's Kitchen|73|3.75|Bakery|Pastry|Almond Croissant
104|2023-01-01|10:56:14|1|5|Lower Manhattan|38|3.75|Coffee|Barista Espresso|Latte
105|2023-01-01|10:56:14|1|5|Lower Manhattan|76|3.5|Bakery|Biscotti|Chocolate Chip Biscotti
106|2023-01-01|11:01:48|1|3|Astoria|22|2.0|Coffee|Drip coffee|Our Old Time Diner Blend Sm
107|2023-01-01|11:01:58|1|3|Astoria|38|3.75|Coffee|Barista Espresso|Latte
108|2023-01-01|11:01:58|1|3|Astoria|75|3.5|Bakery|Pastry|Croissant
109|2023-01-01|11:03:25|2|5|Lower Manhattan|47|3.0|Tea|Brewed Green tea|Serenity Green Tea Lg
110|2023-01-01|11:03:25|1|5|Lower Manhattan|75|3.5|Bakery|Pastry|Croissant
111|2023-01-01|11:04:32|2|8|Hell's Kitchen|39|4.25|Coffee|Barista Espresso|Latte Rg
112|2023-01-01|11:08:11|1|3|Astoria|59|4.5|Drinking Chocolate|Hot chocolate|Dark chocolate Lg
113|2023-01-01|11:08:59|2|8|Hell's Kitchen|51|3.0|Tea|Brewed Black tea|Earl Grey Lg
114|2023-01-01|11:09:01|1|3|Astoria|59|4.5|Drinking Chocolate|Hot chocolate|Dark chocolate Lg
115|2023-01-01|11:10:21|1|3|Astoria|47|3.0|Tea|Brewed Green tea|Serenity Green Tea Lg
116|2023-01-01|11:10:21|1|3|Astoria|79|3.75|Bakery|Scone|Jumbo Savory Scone
117|2023-01-01|11:10:58|1|3|Astoria|46|2.5|Tea|Brewed Green tea|Serenity Green Tea Rg
118|2023-01-01|11:12:29|1|3|Astoria|43|3.0|Tea|Brewed herbal tea|Lemon Grass Lg
119|2023-01-01|11:16:02|2|3|Astoria|45|3.0|Tea|Brewed herbal tea|Peppermint Lg
120|2023-01-01|11:21:00|2|8|Hell's Kitchen|54|2.5|Tea|Brewed Chai tea|Morning Sunrise Chai Rg
121|2023-01-01|11:21:04|2|5|Lower Manhattan|51|3.0|Tea|Brewed Black tea|Earl Grey Lg
122|2023-01-01|11:21:14|1|3|Astoria|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
123|2023-01-01|11:23:01|1|8|Hell's Kitchen|31|2.2|Coffee|Gourmet brewed coffee|Ethiopia Sm
124|2023-01-01|11:23:43|2|5|Lower Manhattan|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
125|2023-01-01|11:23:43|1|5|Lower Manhattan|77|3.0|Bakery|Scone|Oatmeal Scone
126|2023-01-01|11:25:35|2|3|Astoria|49|3.0|Tea|Brewed Black tea|English Breakfast Lg
127|2023-01-01|11:25:37|2|5|Lower Manhattan|40|3.75|Coffee|Barista Espresso|Cappuccino
128|2023-01-01|11:28:15|2|8|Hell's Kitchen|44|2.5|Tea|Brewed herbal tea|Peppermint Rg
129|2023-01-01|11:28:29|2|3|Astoria|33|3.5|Coffee|Gourmet brewed coffee|Ethiopia Lg
130|2023-01-01|11:29:25|2|5|Lower Manhattan|56|2.55|Tea|Brewed Chai tea|Spicy Eye Opener Chai Rg
131|2023-01-01|11:29:57|2|8|Hell's Kitchen|35|3.1|Coffee|Premium brewed coffee|Jamaican Coffee River Rg
132|2023-01-01|11:29:57|1|8|Hell's Kitchen|78|4.5|Bakery|Scone|Scottish Cream Scone 
133|2023-01-01|11:30:22|1|8|Hell's Kitchen|23|2.5|Coffee|Drip coffee|Our Old Time Diner Blend Rg
134|2023-01-01|11:31:35|1|8|Hell's Kitchen|24|3.0|Coffee|Drip coffee|Our Old Time Diner Blend Lg
135|2023-01-01|11:31:43|2|5|Lower Manhattan|51|3.0|Tea|Brewed Black tea|Earl Grey Lg
136|2023-01-01|11:31:43|1|5|Lower Manhattan|72|3.25|Bakery|Scone|Ginger Scone
137|2023-01-01|11:31:53|2|5|Lower Manhattan|54|2.5|Tea|Brewed Chai tea|Morning Sunrise Chai Rg
138|2023-01-01|11:31:53|1|5|Lower Manhattan|75|3.5|Bakery|Pastry|Croissant
139|2023-01-01|11:39:14|1|5|Lower Manhattan|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
140|2023-01-01|11:39:14|1|5|Lower Manhattan|71|3.75|Bakery|Pastry|Chocolate Croissant
141|2023-01-01|11:40:26|2|3|Astoria|52|2.5|Tea|Brewed Chai tea|Traditional Blend Chai Rg
142|2023-01-01|11:43:57|2|3|Astoria|25|2.2|Coffee|Organic brewed coffee|Brazilian Sm
143|2023-01-01|11:44:09|1|5|Lower Manhattan|38|3.75|Coffee|Barista Espresso|Latte
144|2023-01-01|11:47:13|1|3|Astoria|30|3.0|Coffee|Gourmet brewed coffee|Columbian Medium Roast Lg
145|2023-01-01|11:48:56|2|8|Hell's Kitchen|50|2.5|Tea|Brewed Black tea|Earl Grey Rg
146|2023-01-01|11:49:42|1|8|Hell's Kitchen|54|2.5|Tea|Brewed Chai tea|Morning Sunrise Chai Rg
147|2023-01-01|11:49:42|1|8|Hell's Kitchen|72|3.25|Bakery|Scone|Ginger Scone
148|2023-01-01|11:50:16|2|3|Astoria|26|3.0|Coffee|Organic brewed coffee|Brazilian Rg
149|2023-01-01|11:50:23|2|3|Astoria|36|3.75|Coffee|Premium brewed coffee|Jamaican Coffee River Lg
150|2023-01-01|11:50:58|2|5|Lower Manhattan|45|3.0|Tea|Brewed herbal tea|Peppermint Lg
151|2023-01-01|11:51:30|2|8|Hell's Kitchen|33|3.5|Coffee|Gourmet brewed coffee|Ethiopia Lg
152|2023-01-01|11:52:31|1|5|Lower Manhattan|57|3.1|Tea|Brewed Chai tea|Spicy Eye Opener Chai Lg
153|2023-01-01|11:57:17|2|3|Astoria|37|3.0|Coffee|Barista Espresso|Espresso shot
154|2023-01-01|11:57:59|1|3|Astoria|50|2.5|Tea|Brewed Black tea|Earl Grey Rg
155|2023-01-01|11:57:59|1|3|Astoria|79|3.75|Bakery|Scone|Jumbo Savory Scone
156|2023-01-01|11:58:15|2|3|Astoria|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
157|2023-01-01|12:00:20|1|5|Lower Manhattan|29|2.5|Coffee|Gourmet brewed coffee|Columbian Medium Roast Rg
158|2023-01-01|12:01:00|2|3|Astoria|49|3.0|Tea|Brewed Black tea|English Breakfast Lg
159|2023-01-01|12:01:20|2|3|Astoria|35|3.1|Coffee|Premium brewed coffee|Jamaican Coffee River Rg
160|2023-01-01|12:01:20|1|3|Astoria|75|3.5|Bakery|Pastry|Croissant
161|2023-01-01|12:03:09|1|8|Hell's Kitchen|36|3.75|Coffee|Premium brewed coffee|Jamaican Coffee River Lg
162|2023-01-01|12:03:38|1|8|Hell's Kitchen|47|3.0|Tea|Brewed Green tea|Serenity Green Tea Lg
163|2023-01-01|12:03:43|1|3|Astoria|44|2.5|Tea|Brewed herbal tea|Peppermint Rg
164|2023-01-01|12:04:22|2|8|Hell's Kitchen|27|3.5|Coffee|Organic brewed coffee|Brazilian Lg
165|2023-01-01|12:05:31|2|3|Astoria|52|2.5|Tea|Brewed Chai tea|Traditional Blend Chai Rg
166|2023-01-01|12:06:29|1|5|Lower Manhattan|46|2.5|Tea|Brewed Green tea|Serenity Green Tea Rg
167|2023-01-01|12:07:42|1|8|Hell's Kitchen|24|3.0|Coffee|Drip coffee|Our Old Time Diner Blend Lg
168|2023-01-01|12:08:21|1|5|Lower Manhattan|43|3.0|Tea|Brewed herbal tea|Lemon Grass Lg
169|2023-01-01|12:08:36|1|8|Hell's Kitchen|35|3.1|Coffee|Premium brewed coffee|Jamaican Coffee River Rg
170|2023-01-01|12:09:11|2|3|Astoria|28|2.0|Coffee|Gourmet brewed coffee|Columbian Medium Roast Sm
171|2023-01-01|12:09:12|2|8|Hell's Kitchen|50|2.5|Tea|Brewed Black tea|Earl Grey Rg
172|2023-01-01|12:13:07|2|5|Lower Manhattan|38|3.75|Coffee|Barista Espresso|Latte
173|2023-01-01|12:14:26|2|8|Hell's Kitchen|35|3.1|Coffee|Premium brewed coffee|Jamaican Coffee River Rg
174|2023-01-01|12:17:38|2|8|Hell's Kitchen|50|2.5|Tea|Brewed Black tea|Earl Grey Rg
175|2023-01-01|12:18:07|2|5|Lower Manhattan|25|2.2|Coffee|Organic brewed coffee|Brazilian Sm
176|2023-01-01|12:18:44|2|3|Astoria|49|3.0|Tea|Brewed Black tea|English Breakfast Lg
177|2023-01-01|12:20:16|2|3|Astoria|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
178|2023-01-01|12:23:39|1|3|Astoria|24|3.0|Coffee|Drip coffee|Our Old Time Diner Blend Lg
179|2023-01-01|12:27:06|2|5|Lower Manhattan|41|4.25|Coffee|Barista Espresso|Cappuccino Lg
180|2023-01-01|12:30:46|2|3|Astoria|44|2.5|Tea|Brewed herbal tea|Peppermint Rg
181|2023-01-01|12:30:49|1|8|Hell's Kitchen|38|3.75|Coffee|Barista Espresso|Latte
182|2023-01-01|12:33:20|2|3|Astoria|54|2.5|Tea|Brewed Chai tea|Morning Sunrise Chai Rg
183|2023-01-01|12:33:35|2|3|Astoria|29|2.5|Coffee|Gourmet brewed coffee|Columbian Medium Roast Rg
184|2023-01-01|12:35:53|2|5|Lower Manhattan|31|2.2|Coffee|Gourmet brewed coffee|Ethiopia Sm
185|2023-01-01|12:36:57|1|8|Hell's Kitchen|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
186|2023-01-01|12:38:28|2|8|Hell's Kitchen|49|3.0|Tea|Brewed Black tea|English Breakfast Lg
187|2023-01-01|12:42:26|1|3|Astoria|53|3.0|Tea|Brewed Chai tea|Traditional Blend Chai Lg
188|2023-01-01|12:44:01|1|8|Hell's Kitchen|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
189|2023-01-01|12:44:31|1|3|Astoria|53|3.0|Tea|Brewed Chai tea|Traditional Blend Chai Lg
190|2023-01-01|12:44:32|1|3|Astoria|52|2.5|Tea|Brewed Chai tea|Traditional Blend Chai Rg
191|2023-01-01|12:45:52|2|3|Astoria|28|2.0|Coffee|Gourmet brewed coffee|Columbian Medium Roast Sm
192|2023-01-01|12:46:22|1|3|Astoria|56|2.55|Tea|Brewed Chai tea|Spicy Eye Opener Chai Rg
193|2023-01-01|12:46:26|1|3|Astoria|23|2.5|Coffee|Drip coffee|Our Old Time Diner Blend Rg
194|2023-01-01|12:46:55|1|3|Astoria|33|3.5|Coffee|Gourmet brewed coffee|Ethiopia Lg
195|2023-01-01|12:46:55|1|3|Astoria|75|3.5|Bakery|Pastry|Croissant
196|2023-01-01|12:48:08|2|3|Astoria|38|3.75|Coffee|Barista Espresso|Latte
197|2023-01-01|12:49:48|1|8|Hell's Kitchen|30|3.0|Coffee|Gourmet brewed coffee|Columbian Medium Roast Lg
198|2023-01-01|12:50:15|1|3|Astoria|59|4.5|Drinking Chocolate|Hot chocolate|Dark chocolate Lg
199|2023-01-01|12:50:28|2|3|Astoria|32|3.0|Coffee|Gourmet brewed coffee|Ethiopia Rg
200|2023-01-01|12:51:21|1|8|Hell's Kitchen|53|3.0|Tea|Brewed Chai tea|Traditional Blend Chai Lg
201|2023-01-01|12:51:57|1|5|Lower Manhattan|61|4.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Lg
202|2023-01-01|12:51:57|1|5|Lower Manhattan|72|3.25|Bakery|Scone|Ginger Scone
203|2023-01-01|12:52:18|1|5|Lower Manhattan|56|2.55|Tea|Brewed Chai tea|Spicy Eye Opener Chai Rg
204|2023-01-01|12:52:18|1|5|Lower Manhattan|75|3.5|Bakery|Pastry|Croissant
205|2023-01-01|12:53:11|2|8|Hell's Kitchen|29|2.5|Coffee|Gourmet brewed coffee|Columbian Medium Roast Rg
206|2023-01-01|12:53:59|1|8|Hell's Kitchen|37|3.0|Coffee|Barista Espresso|Espresso shot
207|2023-01-01|12:55:25|1|3|Astoria|49|3.0|Tea|Brewed Black tea|English Breakfast Lg
208|2023-01-01|12:55:27|1|5|Lower Manhattan|57|3.1|Tea|Brewed Chai tea|Spicy Eye Opener Chai Lg
209|2023-01-01|12:55:27|1|5|Lower Manhattan|75|3.5|Bakery|Pastry|Croissant
210|2023-01-01|12:55:36|1|8|Hell's Kitchen|45|3.0|Tea|Brewed herbal tea|Peppermint Lg
211|2023-01-01|12:55:53|2|8|Hell's Kitchen|26|3.0|Coffee|Organic brewed coffee|Brazilian Rg
212|2023-01-01|12:56:33|1|3|Astoria|61|4.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Lg
213|2023-01-01|12:56:59|1|3|Astoria|47|3.0|Tea|Brewed Green tea|Serenity Green Tea Lg
214|2023-01-01|12:58:54|2|3|Astoria|44|2.5|Tea|Brewed herbal tea|Peppermint Rg
215|2023-01-01|12:59:06|1|8|Hell's Kitchen|36|3.75|Coffee|Premium brewed coffee|Jamaican Coffee River Lg
216|2023-01-01|13:00:38|2|5|Lower Manhattan|30|3.0|Coffee|Gourmet brewed coffee|Columbian Medium Roast Lg
217|2023-01-01|13:01:33|2|5|Lower Manhattan|25|2.2|Coffee|Organic brewed coffee|Brazilian Sm
218|2023-01-01|13:02:40|1|8|Hell's Kitchen|49|3.0|Tea|Brewed Black tea|English Breakfast Lg
219|2023-01-01|13:02:40|1|8|Hell's Kitchen|78|4.5|Bakery|Scone|Scottish Cream Scone 
220|2023-01-01|13:02:52|1|8|Hell's Kitchen|26|3.0|Coffee|Organic brewed coffee|Brazilian Rg
221|2023-01-01|13:03:13|2|3|Astoria|43|3.0|Tea|Brewed herbal tea|Lemon Grass Lg
222|2023-01-01|13:04:01|2|8|Hell's Kitchen|25|2.2|Coffee|Organic brewed coffee|Brazilian Sm
223|2023-01-01|13:04:01|1|8|Hell's Kitchen|72|3.25|Bakery|Scone|Ginger Scone
224|2023-01-01|13:04:22|2|8|Hell's Kitchen|42|2.5|Tea|Brewed herbal tea|Lemon Grass Rg
225|2023-01-01|13:04:37|2|8|Hell's Kitchen|54|2.5|Tea|Brewed Chai tea|Morning Sunrise Chai Rg
226|2023-01-01|13:04:51|1|3|Astoria|22|2.0|Coffee|Drip coffee|Our Old Time Diner Blend Sm
227|2023-01-01|13:05:56|1|3|Astoria|58|3.5|Drinking Chocolate|Hot chocolate|Dark chocolate Rg
228|2023-01-01|13:07:37|2|5|Lower Manhattan|24|3.0|Coffee|Drip coffee|Our Old Time Diner Blend Lg
229|2023-01-01|13:09:03|1|3|Astoria|35|3.1|Coffee|Premium brewed coffee|Jamaican Coffee River Rg
230|2023-01-01|13:12:03|2|5|Lower Manhattan|30|3.0|Coffee|Gourmet brewed coffee|Columbian Medium Roast Lg
231|2023-01-01|13:13:09|1|5|Lower Manhattan|60|3.75|Drinking Chocolate|Hot chocolate|Sustainably Grown Organic Rg
232|2023-01-01|13:17:30|1|8|Hell's Kitchen|56|2.55|Tea|Brewed Chai tea|Spicy Eye Opener Chai Rg
233|2023-01-01|13:17:32|2|3|Astoria|55|4.0|Tea|Brewed Chai tea|Morning Sunrise Chai Lg
234|2023-01-01|13:18:34|2|8|Hell's Kitchen|49|3.0|Tea|Brewed Black tea|English Breakfast Lg
235|2023-01-01|13:19:09|1|8|Hell's Kitchen|55|4.0|Tea|Brewed Chai tea|Morning Sunrise Chai Lg
